file,class,nobs:float,nvar:float 
"AllstarFull","data.frame",4912,8
"Appearances","data.frame",98146,21
"AwardsManagers","data.frame",169,6
"AwardsPlayers","data.frame",5972,6
"AwardsShareManagers","data.frame",385,7
"AwardsSharePlayers","data.frame",6617,7
"Batting","data.frame",97889,24
"BattingPost","data.frame",10900,22
"Fielding","data.frame",166991,18
"FieldingOF","data.frame",12028,6
"FieldingPost","data.frame",11554,17
"HallOfFame","data.frame",4054,9
"Managers","data.frame",3337,10
"ManagersHalf","data.frame",93,10
"Master","data.frame",18354,26
"Pitching","data.frame",42583,30
"PitchingPost","data.frame",4778,30
"Salaries","data.frame",23956,5
"Schools","data.frame",749,5
"SchoolsPlayers","data.frame",6147,4
"SeriesPost","data.frame",289,9
"Teams","data.frame",2745,48
"TeamsFranchises","data.frame",120,4
"TeamsHalf","data.frame",52,10
